Word,Unicode_Sequence,Frequency,Language_ID
"(110, 97)",117,0
"(98, 111, 115, 97, 110, 115, 107, 105)",2,0
"(111, 98, 114, 97, 100, 105, 111)",2,0
"(100, 105, 110, 111, 98, 104)",2,0
"(109, 111, 106)",14,0
"(111, 116, 97, 99)",13,0
"(106, 101)",408,0
"(98, 105, 111)",24,0
"(102, 97, 114, 109, 101, 114)",3,0
"(107, 97, 111)",45,0
"(105,)",187,0
"(115, 118, 105)",8,0
"(117,)",171,0
"(116, 111)",198,0
"(118, 114, 105, 106, 101, 109, 101)",22,0
"(110, 97, 114, 97, 118, 110, 111)",3,0
"(105, 115, 112, 111, 101, 116, 107, 97)",1,0
"(110, 105, 106, 101)",58,0
"(107, 111, 109, 112, 106, 117, 116, 101, 114)",1,0
"(112, 111, 107, 97, 122, 117, 106, 101)",2,0
"(100, 97)",281,0
"(101,)",83,0
"(98, 105, 116, 105)",25,0
"(116, 105, 106, 101, 115, 110, 111)",1,0
"(117, 115, 112, 106, 101, 116)",1,0
"(112, 114, 105, 108, 97, 122, 105)",2,0
"(116, 106, 101, 115, 110, 97, 99, 117)",2,0
"(109, 111, 114, 97, 109)",6,0
"(117, 103, 97, 115, 105, 116, 105)",1,0
"(99, 111, 111, 112, 101, 114, 117)",41,0
"(116, 97)",63,0
"(115, 118, 101)",35,0
"(105, 115, 107, 108, 106, 117, 117, 106, 101, 109, 111)",1,0
"(110, 101, 109, 111, 106, 116, 101)",1,0
"(110, 105, 116, 97)",13,0
"(105, 115, 107, 108, 106, 117, 105, 118, 97, 116, 105)",1,0
"(116, 97, 116, 97)",29,0
"(105, 122, 118, 105, 110, 105)",9,0
"(109, 117, 114, 112, 104)",70,0
"(118, 114, 97, 116, 105)",10,0
"(115, 101)",197,0
"(107, 114, 101, 118, 101, 116)",3,0
"(109, 105, 115, 108, 105, 108, 97)",2,0
"(115, 97, 109)",106,0
"(115, 105)",65,0
"(100, 117, 104)",13,0
"(110, 101)",210,0
"(100, 117, 104, 111, 118, 105)",3,0
"(112, 111, 115, 116, 111, 106, 101)",5,0
"(100, 117, 111)",2,0
"(100, 106, 101, 100)",10,0
